field_1,Antenas,Nombres,Lat,Long,CentroLat,CentroLong,MINVU,Area
2601,MDUA1,MDUA1B,-33.459389000000002,-70.571583000000004,-33.459284210200003,-70.570870656300002,gran santiago,251177.84
237,LPRC1,LPRC1U1,-33.443001000000002,-70.714896999999993,-33.442159013800001,-70.715479569699994,gran santiago,664727.34
1672,LIRF2,LIRF2L0,-33.454110000000000,-70.641490000000005,-33.454110000000000,-70.641490000000005,gran santiago,327098.16
4555,INZON,INZONU3,-33.418863999999999,-70.567272000000003,-33.419417172099998,-70.568419917400007,gran santiago,229524.76
16924,VISLU,VISLUU7,-30.592949999999998,-71.203773999999996,-30.593346194999999,-71.203855156800003,ovalle,1674217.20
74,CHIF2,CHIF2U3,-34.689255000000003,-71.025581000000003,-34.690389134699998,-71.026083032900004,chimbarongo,51202209.36
6330,SURAA,SURAAU2,-33.411470000000001,-70.579640999999995,-33.411470000000001,-70.579640999999995,gran santiago,58762.89
1342,OCNC1,OCNC1U1,-33.442883299999998,-70.770563899999999,-33.441892812399999,-70.770773200400001,gran santiago,1354196.58
5210,CRECE,CRECERB,-33.373663000000001,-70.548683999999994,-33.374011408100003,-70.548443125700004,gran santiago,586338.92
2472,PNUF2,PNUF2U7,-29.954699999999999,-71.291100000000000,-29.953799945800000,-71.290500242899995,gran la serena,2061757.88
2913,CDCHF,CDCHFU1,-23.649080000000001,-70.400660000000002,-23.648949844099999,-70.401190281200002,antofagasta,221935.16
5726,SAVLE,SAVLEAB,-33.325750999999997,-70.543918000000005,-33.326268195899999,-70.543180323100003,gran santiago,2627543.76
1164,ANVC2,ANVC2U7,-33.431576000000000,-70.617384999999999,-33.430850149800001,-70.616882850200000,gran santiago,213879.24
2383,PVOEN,PVOENU1,-41.328977999999999,-72.968154999999996,-41.328908140099998,-72.967627394900006,gran puerto montt,14240921.60
1233,DIGOR,DIGORU8,-33.444400000000002,-70.617599999999996,-33.444951646100002,-70.617218304100007,gran santiago,318442.85
1521,LDLDE,LDLDEL0,-33.340167999999998,-70.528610999999998,-33.340167999999998,-70.528610999999998,gran santiago,1776888.03
1895,ARIVE,ARIVEW2,-29.968416999999999,-71.333250000000007,-29.969158488800002,-71.332650670199996,gran la serena,983947.94
9733,DRVAL,DRVALU1,-39.811624000000002,-73.246481000000003,-39.811624000000002,-73.246481000000003,valdivia,202516.58
1402,COROF,COROFU1,-36.950827799999999,-73.158036100000004,-36.949315620299998,-73.157347397899997,gran concepcion,100574919.15
298,INTER,INTERU1,-33.489600000000003,-70.750500000000002,-33.489407885299997,-70.749193582399997,gran santiago,669189.34
8009,SNLEO,SNLEOU3,-33.639581000000000,-70.691588999999993,-33.639150003399998,-70.692205955299997,gran santiago,5234869.03
2534,MCLF2,MCLF2C,-33.469144000000000,-70.597199000000003,-33.469317541199999,-70.597975407400000,gran santiago,695321.89
382,GRJC1,GRJC1U2,-33.539902777800002,-70.614302777800006,-33.540773797999996,-70.613699432800004,gran santiago,931124.77
1350,SFPOF,SFPOF5X,-34.573008000000002,-70.992116999999993,-34.574227428299999,-70.991261954699993,san fernando,2743645.03
1270,SCZC2,SCZC2A,-34.641638999999998,-71.365333000000007,-34.640868537400003,-71.364547208800005,santa cruz,323737.99
826,SAMAV,SAMAVU1,-32.994556000000003,-71.520527999999999,-32.994556000000003,-71.519728555800000,gran valparaiso,1898067.85
1775,SCPAZ,SCPAZW3,-34.639360000000003,-71.349324999999993,-34.637973167299997,-71.350739374800000,santa cruz,14790946.39
15795,HAPO9,HAPO9U1,-33.402683000000003,-70.527431000000007,-33.402763264999997,-70.527166840199996,gran santiago,421282.45
3039,HMAR2,HMAR2U8,-33.399991999999997,-70.574419000000006,-33.399991999999997,-70.574419000000006,gran santiago,5853.00
252,SOIQQ,SOIQQL0,-20.213311000000001,-70.148972000000001,-20.213311000000001,-70.148972000000001,gran iquique,212082.40
261,VRSCF,VRSCFU7,-41.323967000000003,-72.978438999999995,-41.324211509599998,-72.976592515199997,gran puerto montt,1943210.95
1556,GOCAF,GOCAF8A,-33.020465999999999,-71.521225000000001,-33.019420775800000,-71.520505297400007,gran valparaiso,892756.22
906,OLVCL,OLVCLU3,-34.219918000000000,-70.775312000000000,-34.220330791300000,-70.776683581399993,gran rancagua,13950662.32
185,MSIGF,MSIGFU2,-33.416015000000002,-70.593570000000000,-33.416015000000002,-70.593570000000000,gran santiago,9795.87
10105,EDUAR,EDUARDA,-29.903888880000000,-71.247050000000002,-29.903500281300001,-71.247170116199996,gran la serena,87580.60
5874,BULN2,BULN2W1,-36.741390000000003,-72.307500000000005,-36.740003317300001,-72.307805118900006,bulnes,56108328.08
2524,LUISG,LUISGU3,-33.496588879999997,-70.751230555600003,-33.496924135800000,-70.751926885299994,gran santiago,689993.14
315,TOBAL,TOBALAB,-33.435360000000003,-70.592100000000002,-33.435628204700002,-70.591543329999993,gran santiago,386136.82
3557,PILG1,PILG1B,-40.565049999999999,-73.118840000000006,-40.566055767500004,-73.116546805799999,osorno,17888521.83
1610,ENJAI,ENJAIU9,-23.685158000000001,-70.414364000000006,-23.685158000000001,-70.414364000000006,antofagasta,5258134.14
3896,PITEN,PITENU1,-38.990110000000001,-72.636610000000005,-38.989204907199998,-72.637997748399997,pitrufquen,9507962.42
3328,MLILD,MLILDU7,-33.352285000000002,-70.520888999999997,-33.352981816200000,-70.520407367900006,gran santiago,355894.16
1143,JCASF,JCASFU7,-33.424080549999999,-70.690769444400004,-33.422873629000001,-70.690769444400004,gran santiago,1249507.12
655,JPHF3,JPHF3B,-33.428406000000003,-70.541550000000001,-33.428062007299999,-70.540417556899996,gran santiago,662825.86
3686,FONTA,FONTAU7,-33.419333000000002,-70.558000000000007,-33.418072850300000,-70.557450495799998,gran santiago,369876.07
57,VLSUR,VLSURW1,-28.583072219999998,-70.748011111200000,-28.582267605999998,-70.748011111200000,vallenar,1204613.07
6129,AHSPF,AHSPFU9,-20.273029999999999,-70.102649999999997,-20.273853876499999,-70.103264984600003,gran iquique,1429343.58
