X,Y,NOMBRE,TIPO_AREA,SHAPE_Leng,SHAPE_Area,conb_Conurbacion,conb_Pob_Conurb_2002,conb_vehicle,conb_motor vehicle,conb_Non-motorized vehicle,conb_private transport,conb_public transport,conb_CO2(movil transport sources),conb_Green spaces,conb_Iliteracy,conb_Municipal spending(M$/hab),conb_Unemployment,conb_Crime reports,conb_Arrested person,conb_Companies,conb_Sales,conb_workers,conb_Income(workers),conb_Professional technicians,conb_University Professional,conb_Professionals,conb_Solid Waste,conb_Municipal spending for Power Consumption,conb_Municipal spending for Water Consumption,conb_Municipal Spending cleaning services garbage collection landfill,conb_Deaths,conb_Birthrate,conb_Year of scholarship,conb_Offence Against Property,conb_Offence Against the Person,conb_Burglary,conb_Robbery,conb_Injuries,conb_Indigenous,conb_Emergency attendence,conb_Respiratory Diseases,conb_Cardiovascular Diseases,conb_Hospitalizations,conb_Street length
-70.43170889,-23.09884896,Mejillones,Ciudad,17400.05844,7553971.824,Mejillones,7825,1788,1732,56,1513,116,,14310.6,39.20818,13216.26,237.22597,198,71,395,1254288.91,1054,102201.6092,462.99,385.5444,848.5344,3619,160790,73416,424363,39,159,26028.456,120.00002,78.00035,83.7793,5.5845,62.36812,192.7722,28285,7720,491,60,26758.43546
-70.39411675,-23.62085173,Antofagasta,Ciudad,57876.82436,35083002.36,Antofagasta,285255,42846,41381,1465,35200,3692,186838.65,,680.86255,155548.5295,5775.98393,5830,1850,15075,151080625.8,82360,13245820.99,20486.445,36073.9575,56560.4025,123137,2079290,1655983,6372096,1787,6128,1103889.821,3769.99874,2059.98627,2463.30202,497.37526,1250.89046,5106.766,314862,105722,3624,9706,704497.64
-70.48112328,-25.4059141,Taltal,Ciudad,7610.91798,2074162.798,Taltal,9564,959,921,38,774,107,,,161.619,15140.4,294.57036,240,77,631,1185221.39,901,113779.2561,307.47,395.16,702.63,3679,293252,81648,242910,61,175,50119.83,135.99986,104.00034,68.11515,9.87123,88.84662,101.01,27518,6372,387,109,22007.09197
-70.33226445,-27.36511148,Copiap,Ciudad,45266.60741,16935952.97,Copiap—,134561,21296,20720,576,17139,2189,65143.32,277535.1,1867.617727,66834.8706,3156.034432,4156,988,7120,82215089.46,56493,6072777.583,6984.6055,12855.6895,19840.295,48073,1458695,496179,2946949,837,3096,541978.5567,2990.999569,1164.981014,1940.49001,263.1650688,759.855557,4019.2101,131690,35064,3179,5938,380189.5211
-70.61599363,-26.34342022,Chaaral,Ciudad,8704.00588,2301685.535,Cha–aral,12086,3247,2890,357,1929,372,,2708.6,111.0902495,7826.4997,557.876799,223,80,778,3021557.89,3907,521397.6466,369.7239,591.8291,961.553,4716,110285,63772,107,80,249,50732.61972,139.9998145,82.9996298,91.0726121,6.9299531,70.2841071,207.2079,,,,,49882.72379
-70.81685418,-27.06853658,Caldera,Ciudad,12305.0045,2955959.288,Caldera,12776,3572,3466,106,2848,403,,75537,123.28737,8686.755,199.19794,461,131,803,2474054.78,2889,270992.4348,546.6132,726.5286,1273.1418,8250,179211,72756,,68,284,46435.3407,336.99995,124.00017,217.14415,9.60693,103.76724,373.5648,36319,9678,189,,66158.71639
-71.1969287,-30.59736218,Ovalle,Ciudad,16915.68205,7385884.25,Ovalle,66405,11683,11544,139,9331,1354,26374.22,107897.9,1555.93676,46494.186,2385.7697,1397,364,5987,12318190.52,21982,1557003.82,3933.3689,4198.2092,8131.5781,23288,825184,154713,1505683,612,1713,417129.3578,908.00006,488.99328,559.1073,98.60887,306.35156,667.0052,131026,146,3601,3699,202096.7413
-71.16661979,-31.6300856,Illapel,Ciudad,8820.44127,2260305.076,Illapel,21826,3001,2877,124,2351,307,,69816.5,732.65435,15232.139,772.2312,501,166,1785,2913668.46,3471,380181.1034,1086.709,1059.3895,2146.0985,13855,327720,78909,221322,183,452,86630.1345,329.99983,170.99882,232.8441,19.5638,137.94223,218.556,27809,2151,190,421,58467.7552
-71.50566856,-31.91250211,Los Vilos,Ciudad,8504.45073,2304555.162,Los Vilos,10966,2761,2688,73,2304,213,,27924.8,340.13454,3277.6734,490.67556,423,117,1037,1240203.75,1871,188819.116,635.2892,631.7986,1267.0878,3959,333586,23774,313552,114,300,57285.9819,296.9998,126.00019,197.5348,6.77875,111.35538,181.5112,20555,6262,1027,399,55757.72642
-71.2466971,-29.91717237,La Serena,Ciudad,49691.97698,38650537.62,Gran La Serena,296253,41711,41372,339,35605,4657,146457.36,1001292.8,2976.499199,245134.1484,8909.973605,9035,1849,16678,65440850.65,84726,8526065.658,21590.3968,31408.9676,52999.3644,136833,4855338,471932,5237762,2061,6712,1347711.936,6597.998583,2436.97485,4600.099186,656.4822824,1375.641114,3392.8544,399614,115473,5840,17085,989868.6973
-71.83242158,-36.62771323,Coihueco,Ciudad,8404.35257,1673081.539,Coihueco,7230,2241,2163,78,1885,77,,14149.8,1061.1968,10720.8318,520.40134,183,52,1191,1607536.2,4056,232941.8493,398.5527,429.2106,827.7633,5304,184453,13897,205986,141,371,59833.60845,95.99979,87.00005,29.25235,4.87461,78.01256,282.996,,,,,18172.12086
-73.65329271,-37.611933,Lebu,Ciudad,12475.51456,2799199.314,Lebu,20838,1511,1506,5,1246,138,,25035,464.74974,17476.9335,805.56622,400,168,880,1761561.12,3248,595390.1924,498.1965,948.8265,1447.023,7744,283957,67840,158747,166,374,75606.95175,230.00005,169.99766,109.40045,8.78979,153.35189,2949.123,42889,11871,401,1565,51784.37019
-72.29670609,-36.74282071,Bulnes,Ciudad,5648.84217,1749626.654,Bulnes,10681,1291,1119,172,753,92,,8238,342.09119,12130.455,639.20372,293,94,1145,2715910.19,3607,339631.8647,607.5525,698.1705,1305.723,2439,171176,17154,224566,156,267,62907.0156,182.00007,111.00087,69.46488,3.91305,101.75166,142.1055,33570,8835,696,1454,30090.38415
-72.10051328,-36.60926215,Chillan,Ciudad,32925.26815,21701062.93,Gran Chill‡n,165528,26600,26029,571,22375,2072,66921.26,259123.7,3586.009346,77741.5466,5607.358353,3933,1685,10693,38381159.08,47154,4251543.822,8981.0078,17331.8906,26312.8984,61494,1626854,259055,2194861,1244,2914,595019.05,3131.000601,801.9750504,1915.480554,143.3964298,583.5168406,1916.1921,252108,84018,5943,11018,513845.3369
-72.33802949,-38.23386139,Victoria,Ciudad,19381.07762,6454703.891,Victoria,23977,4197,3994,203,3394,237,,36851.1,987.14047,21316.6863,1645.23411,667,159,1883,3752729.09,4646,484105.8126,877.7262,2107.2129,2984.9391,11706,310841,27463,290640,198,438,96396.44742,433.99976,232.99946,209.58896,6.92131,221.45166,2358.4704,66721,23169,2202,3442,79513.25991
-72.43159536,-37.95687231,Collipulli,Ciudad,7652.75403,2456089.454,Collipulli,14240,2860,2729,131,2164,150,,11177,630.04771,12484.709,492.73804,236,168,938,1329614.31,3893,219246.3864,315.1914,684.0324,999.2238,7670,263122,19023,290894,162,378,52661.10612,109.99979,125.99832,72.26154,14.84753,104.92744,1479.8348,45165,16000,862,769,41415.5201
-72.4331571,-38.53424001,Lautaro,Ciudad,13411.4266,6013521.065,Lautaro,18808,2854,2725,129,2199,189,,299627.4,1198.10687,16817.796,1264.24238,469,78,1400,6417486.53,5567,646002.3994,998.758,1540.0204,2538.7784,10727,345465,33662,258197,254,547,92345.16468,251.99985,216.9979,98.10381,24.04107,182.7405,2864.1802,,,,,76570.78822
-72.6256362,-39.36977716,Loncoche,Ciudad,16824.12913,5046415.597,Loncoche,14191,2429,2313,116,1875,194,,34555.5,929.90002,11638.2924,1041.7677,327,139,935,919558.79,2550,170524.349,532.1547,780.9543,1313.109,20402,183069,15026,262299,168,292,87705.31455,207.99969,118.99762,127.24948,7.95237,107.36624,2384.3295,24911,6999,202,949,52425.0421
-72.60280021,-38.73256996,Temuco,Ciudad,75222.95243,37131712.71,Gran Temuco,268220,45208,44223,985,39011,2992,116157.38,512337.8,7013.404914,131716.2542,7181.948564,8680,1897,18537,69534855.75,98945,10193837.04,15564.6495,40409.9725,55974.622,152729,3196396,207360,2680126,2035,5560,1305565.234,6233.998132,2446.009368,4007.641758,363.7246061,1621.244654,34038.9694,208253,64873,2414,16521,832153.2929
-73.46332755,-41.39747636,Los Muermos,Pueblo,6475.96095,1278420.152,Los Muermos,5707,2664,2505,159,1982,136,,,461.86271,7945.9376,130.4362,147,54,835,1154308.25,942,128979.7768,271.424,342.6728,614.0968,8169,82652,6642,18351,105,179,50877.5806,75.99991,70.99773,43.67043,0.9907,66.49888,476.6884,12847,3486,271,,13817.94939
-73.00483263,-41.26006972,Llanquihue,Ciudad,13598.42663,4113279.582,Llanquihue,11447,1117,1104,13,955,51,,,443.15893,14378.1937,407.29285,166,100,847,3655903.15,3497,399796.7002,607.7364,655.1137,1262.8501,6741,171949,12501,35841,93,226,51282.65985,83.99979,82.0003,48.85743,9.58002,68.97481,841.3555,9491,3362,257,268,31655.34507
-72.94825211,-38.74563158,Nueva Imperial,Ciudad,14773.03528,3904419.575,Nueva Imperial,14980,3399,3275,124,2605,240,,32993.4,1195.20391,15812.8368,463.25733,449,79,1142,1324734.84,1798,209106.0789,578.8842,1208.7582,1787.6424,5890,214357,26778,372935,239,480,93914.2134,172.21145,163.9742,87.91541,5.08698,145.31193,7561.4874,29352,10825,420,1382,48538.02019
-72.70571049,-37.7976166,Angol,Ciudad,21408.29495,6912992.766,Angol,43801,5043,4867,176,4160,396,10434.9,78393.6,1237.61544,24963.462,1288.16364,667,203,2420,8489458.76,15306,1192680.705,1097.5104,3101.4468,4198.9572,13913,530553,45594,413670,314,784,168536.4408,425.00012,242.00104,171.59869,15.59543,217.41975,1876.5468,116566,47440,1930,2748,128762.1758
-72.02778687,-38.93190665,Cunco,Ciudad,11147.24558,2020889.032,Cunco,7316,1849,1792,57,1524,125,,50498.1,467.37114,8934.4231,361.83572,112,23,747,2692040.18,1061,127162.8675,314.2104,555.4791,869.6895,11453,121840,17142,186110,139,192,58757.3448,54.99973,56.99739,29.48528,1.96382,52.09534,1191.3811,,,,,32178.09227
-73.15987701,-38.71249641,Carahue,Ciudad,10391.24623,2368622.413,Carahue,9459,1637,1589,48,1279,96,,28265.6,770.60248,14605.6064,557.12012,398,64,893,867991.61,558,108197.0097,334.048,750.3232,1084.3712,8888,183171,43520,252184,173,338,64324.28288,202.00011,195.99624,109.30821,1.96831,187.10542,3348.1888,,,,,32517.58671
-72.67458484,-39.10477544,Gorbea,Ciudad,16305.47907,4210816.679,Gorbea,7852,1332,1281,51,1120,48,,74587.8,346.48925,9626.3928,641.00512,292,59,846,1417428.07,3121,156162.5927,375.9834,506.8926,882.876,13695,115502,12822,138952,129,172,41287.3917,163.99985,127.99875,78.83017,25.62015,98.53657,907.2312,,,,,40872.80403
-73.46087833,-37.62791972,Los Alamos,Ciudad,9229.65625,1946771.961,Los Alamos,13035,,,,,,,33537.6,,,,227,78,579,1435325.6,2194,183911.7872,,,,6222,141524,15150,41882,127,322,60521.394,116.99983,109.99774,62.3818,0.95955,103.64795,1723.46,,,,,
-72.93526368,-36.97370357,Hualqui,Ciudad,11086.05188,2488381.07,Hualqui,13724,2411,2287,124,1870,173,3447.61,20644.8,606.44081,10844.1504,702.25727,367,77,600,965563.08,1058,117308.6179,585.5616,679.4016,1264.9632,6586,182546,17716,272761,120,363,62578.51776,224.99979,142.00056,168.56479,6.66639,119.99696,350.9616,8832,11711,354,,44016.78989
-72.71103807,-37.27702353,Laja,Ciudad,8838.84517,2113004.591,Laja,19537,1858,1772,86,1498,140,,17923.2,418.38126,17670.0348,923.81281,289,93,818,1903605.24,4779,305790.4546,862.554,884.958,1747.512,4163,241941,24779,349299,132,305,89284.4208,155.99972,132.99687,88.03204,1.99844,129.04704,474.9648,37235,9909,1002,3,37088.69165
-73.34457591,-37.47752277,Curanilahue,Ciudad,16477.23224,4699848.512,Curanilahue,30126,2418,2295,123,1699,318,,19165.8,923.98322,25327.6047,1334.64243,464,341,1262,4347825.16,5543,579902.6844,817.7408,1108.4221,1926.1629,11956,276377,15660,277041,192,528,87014.64858,272.99989,190.99997,87.28744,16.85952,170.61076,1661.036,66679,16655,1207,4210,73356.99299
-72.40235226,-37.03466252,Cabrero,Ciudad,10427.70639,3216231.649,Cabrero,18037,2656,2442,214,1991,93,,27810.2,904.16623,16567.2946,969.61526,245,166,1075,3404244.63,4693,456755.2997,594.127,573.9014,1168.0284,8868,352804,19484,415848,135,369,78171.944,122.00006,122.99693,74.1066,3.79736,112.11303,401.9838,38225,11672,541,,54181.97306
-72.56074917,-37.09965183,Yumbel,Ciudad,9824.40215,2237256.573,Yumbel,8302,1965,1907,58,1644,138,,22547.8,568.41979,17162.9754,519.95452,262,136,688,1198088.48,1625,181922.3145,563.695,592.3922,1156.0872,6095,237244,30786,341241,173,217,59317.1124,149.99985,111.99697,70.46188,3.97046,102.21943,200.8804,30781,9580,731,11428,33905.94248
-72.54166965,-36.27990568,Quirihue,Ciudad,6854.26352,1430707.576,Quirihue,7952,986,943,43,719,64,,4571.6,383.50695,8928.3348,213.05942,130,110,453,999217.16,1720,152410.4223,316.5833,340.5842,657.1675,2429,69030,32899,113171,94,114,36279.76044,72.99988,56.99985,38.39458,2.95211,51.19392,91.432,21108,6678,776,1573,23700.43793
-72.70210131,-36.48872065,Coelemu,Ciudad,6352.25658,1122565.605,Coelemu,9845,2130,2030,100,1600,193,,,466.31367,9046.125,328.53918,177,126,973,1851512.7,2407,221230.0477,368.2778,498.542,866.8198,4642,115612,24663,288616,123,197,49672.15176,80.99989,95.99989,34.98317,,94.95134,210.6742,26515,8300,28,927,22518.40897
-72.58304935,-37.67815636,Renaico,Ciudad,8422.48721,3329463.585,Renaico,5355,853,794,59,660,33,,,287.62784,5059.6504,279.13597,110,26,390,405775.52,739,74292.3799,138.7456,277.4912,416.2368,5551,82744,20299,97403,59,129,23885.694,68.00004,41.99975,25.7154,0.98856,39.56258,188.0368,,,,,19399.78766
-72.01395074,-37.12322459,Yungay,Ciudad,10035.07743,2593222.029,Yungay,9288,2416,2346,70,1960,145,,,347.79423,15806.8414,608.09647,258,114,792,3752229.96,2625,310741.3241,507.7828,583.4458,1091.2286,5475,172607,18829,81731,130,208,53962.17904,148.00002,110.00055,45.64833,5.82605,95.18069,201.768,18484,5497,723,848,28081.01509
-71.95931092,-36.42561423,San Carlos,Ciudad,14510.50522,6058379.392,San Carlos,29359,5048,4842,206,3946,424,,75132,1526.95271,19013.4048,1328.28467,601,243,3519,16223492.26,8867,1060720.725,1217.1384,2183.8368,3400.9752,15415,366766,52063,567907,370,641,159207.7133,404.99955,195.99935,213.65537,14.76594,170.32925,415.7304,117603,34960,2797,2072,71303.32725
-73.31829086,-37.24798664,Arauco,Ciudad,14146.69507,2550704.945,Arauco,16291,3631,3419,212,2797,202,,34873,974.21527,24693.5713,987.29996,515,168,1603,23219682.71,9695,1247243.749,1210.0931,1398.4073,2608.5004,12357,351581,53472,372373,194,512,117703.0009,242.9996,271.99894,109.84646,9.46453,238.62548,1234.5042,47231,13345,809,1171,52249.94643
-72.34845851,-37.46935905,Los Angeles,Ciudad,28018.63311,15761478.22,Los Angeles,138856,25894,24834,1060,20501,1896,54850.87,560474.3,883.06438,19834.0527,922.87793,3672,2489,10913,67253120,70216,6174185.822,646.6779,799.9068,1446.5847,62481,1837482,82795,2716802,1238,3321,596151.6688,2621.00031,1050.97951,1440.55097,174.88864,755.63883,2320.7124,45237,14250,440,941,52909.85435
-72.87006487,-40.0708839,Paillaco,Ciudad,7442.3498,2395111.506,Paillaco,9973,1459,1405,54,1171,131,,113498.3,457.07112,12900.3322,323.12389,203,172,1021,2032173.33,1916,212206.1255,507.8568,523.2464,1031.1032,5868,156656,25441,294319,146,274,58465.0904,128.99986,74.00089,62.67799,1.9564,57.78218,744.4719,37353,12714,621,1133,27051.31592
-73.13336522,-41.77584059,Calbuco,Pueblo,8316.40317,1499913.496,Calbuco,12165,1150,1109,41,915,117,,15535,1270.26588,18262.946,242.40907,344,316,967,3703294.72,3238,413770.0177,695.968,742.573,1438.541,17257,94841,14353,337008,203,465,103525.24,176.99989,167.00125,103.48796,7.66497,146.61001,2460.744,42877,13649,94,774,
-70.71663224,-32.62688694,Putaendo,Ciudad,4589.53497,623566.8508,Putaendo,7214,1809,1786,23,1561,133,,21973.5,372.03772,10720.1382,230.76394,263,32,871,958404.2,1910,127284.278,459.9786,524.4342,984.4128,5664,145411,11393,50704,126,206,53584.5771,141.99993,120.99928,77.59429,3.83218,89.08789,95.2185,,,,,13555.26696
-72.33478652,-39.64333082,Panguipulli,Ciudad,9613.9382,1523272.116,Panguipulli,11142,2534,2415,119,2030,154,,,759.62259,20745.7155,911.54711,437,167,1482,3759614.76,3038,357303.7184,618.8778,968.2443,1587.1221,9798,164218,42601,490989,254,418,94089.72213,249.00016,187.99578,144.13198,10.71391,171.40253,3713.2668,52090,20032,893,1716,34483.59943
-71.23131086,-32.45152074,La Ligua,Ciudad,7441.22156,1516333.98,La Ligua,17048,4167,4125,42,3520,259,,35185.7,726.5847,17074.6606,665.00973,444,173,2810,3561405.79,4709,381183.0049,1452.2098,1244.2943,2696.5041,12550,443686,26075,521899,199,442,107812.1835,317.00013,127.00118,223.26606,10.45015,105.45474,211.1142,,,,,59889.79296
-70.7236751,-32.7485294,San Felipe,Ciudad,16085.20082,6000964.641,San Felipe,53358,9764,9529,235,7793,944,18741.09,173140.2,874.19769,31004.921,946.63122,1590,350,4619,13456384.06,32671,2259243.402,3488.4544,4617.072,8105.5264,25469,686938,200658,838527,396,1166,253748.5058,1049.99977,539.99863,606.93335,30.34442,293.97282,436.0568,110465,25479,1534,3251,167557.0828
-70.6574395,-32.7467854,Santa Maria,Ciudad,5197.22948,434201.637,Santa Maria,6443,1682,1634,48,1362,74,,14094.3,251.73778,6024.6726,247.45491,232,26,762,1617938.64,4671,234330.2841,367.7331,397.203,764.9361,4843,165829,19704,2902,80,270,44892.13932,132.99997,98.99836,67.16959,0.95969,71.0058,180.6633,,,,,13828.23275
-71.40486041,-33.31867979,Casablanca,Ciudad,12726.48802,3492048.91,Casablanca,14437,2897,2494,403,1886,142,,91870.8,471.92061,22283.0438,289.77582,343,186,1312,32912652.71,5304,980390.6153,1113.3866,909.9584,2023.345,9606,515234,34305,213971,128,327,72253.32184,244.0001,98.99735,117.40869,6.46814,79.50543,201.2408,39182,12249,2790,3,54071.88289
-70.95751831,-32.84039819,Llaillay,Ciudad,9849.74211,2078433.857,Llaillay,16215,3410,3263,147,2756,210,,,581.27906,9267.9608,852.38314,421,46,1168,2608821.21,5434,358327.1914,796.4992,861.4312,1657.9304,7895,196109,33757,26683,151,367,60269.8824,228.9998,191.9996,114.15262,5.80492,132.53703,155.8368,,,,,43419.69614
-71.68837274,-33.40724226,El Quisco,Ciudad,26485.77896,11390751.14,El Quisco,18581,28772,28624,148,27989,492,,32226.5,233.63189,67138.3896,507.33057,937,428,1858,4397521.38,3043,333020.8176,1363.6525,1516.1355,2879.788,12372,825869,77114,249348,181,350,91806.38358,761.99982,174.99917,579.2142,17.16896,134.99876,622.7915,88407,23783,777,,627333.3386
-71.26687423,-33.00064434,Limache,Ciudad,25781.81761,7272918.149,Limache,45327,9216,8982,234,7204,1061,,89722,607.59873,31435.9242,1367.6066,909,373,3177,6089036.38,9801,692774.6815,2654.7448,3219.0504,5873.7952,20374,489147,44027,749328,432,781,216533.1034,647.99988,260.99938,384.56183,34.53402,207.17893,441.6604,,,,,174533.5716
-71.24933216,-32.88344922,Quillota,Ciudad,19877.04708,6286334.209,Gran Quillota,128874,20212,19850,362,17022,1544,,324367,1608.533649,2488158.051,4307.977753,1197,938,10263,36559693.49,42785,3198237.043,8310.5474,9897.8268,18208.3742,58877,1027930,72416,1529319,1098,2500,521964.1197,1249.999254,663.9614091,680.5501716,54.7392187,456.7348719,31601.2596,11736,21039,1449,4868,347975.4843
-71.59133043,-33.04488179,Valparaiso,Ciudad,109234.3936,37982006.12,Gran Valparaiso,814494,115215,113667,1548,101339,9224,577706.33,1380037.7,5203.962192,612970.4309,29407.63264,15773,9655,43915,579479038.9,259442,39735580.3,62293.7051,106775.8451,169069.5502,304574,6806849,746054,13794310,6263,12127,3151130.847,10712.99542,5059.954341,6891.916075,1135.323911,3311.039722,9203.3574,648338,159613,14150,31703,2158674.397
-71.20255288,-32.7349694,Nogales,Ciudad,8496.91526,1170782.232,Nogales,8969,3073,3050,23,2380,381,,49755.9,362.02826,14647.7043,267.90091,114,64,1147,1510348.52,4744,329872.0959,873.9732,607.8873,1481.8605,8577,209761,11445,194939,123,292,57041.02908,73.99979,39.99942,35.98866,1.89289,35.98866,166.5741,,,,,48202.82387
-71.53266833,-32.78407073,Quintero,Ciudad,11684.13313,3695513.669,Quintero,18719,1843,1780,63,1409,265,,23291.4,316.92841,15501.4854,560.71949,706,183,1371,2757212.76,4291,392641.0763,1463.1234,1325.4924,2788.6158,8461,301777,49119,146903,153,388,59491.74084,548.9999,157.00098,385.39644,24.68041,117.70415,298.5534,,,,,131510.3698
-70.96578384,-32.77663247,Catemu,Ciudad,3790.69283,669596.2788,Catemu,6706,1236,1177,59,1015,66,,1211.2,232.48984,7287.7904,287.01928,221,35,695,700983.04,1611,114318.5184,329.4464,329.4464,658.8928,4446,92795,8704,156556,73,197,40552.7928,120.99997,99.99909,66.64507,1.93065,73.40478,95.6848,,,,,17868.28533
-70.68837781,-32.84624546,Rinconada,Localidad,3348.51711,353787.5777,Rinconada,5727,1197,1176,21,942,116,,4015.2,203.9389,1677.6844,136.12733,57,27,405,529869.04,2182,75232.1796,211.4672,262.3264,473.7936,2639,138308,45870,16558,40,156,16668.63436,45.00002,11.99943,19.98097,,11.41789,32.7908,,,,,19351.75294
-73.05218956,-41.12377538,Frutillar,Pueblo,18960.0296,3031965.921,Frutillar,9118,1634,1597,37,1340,122,,304290,368.6256,11218.365,397.42447,155,76,1010,2784096.22,3154,289469.3156,490.59,569.7675,1060.3575,20834,173412,20797,25000,114,259,42894.17775,72.99995,81.99839,39.09195,,74.36786,995.1525,15865,5062,522,63,27194.2268
-73.42028145,-41.15231971,Fresia,Ciudad,10336.09519,1902824.857,Fresia,6144,953,928,25,771,51,,5121.6,421.29629,6820.6908,237.99691,136,60,653,862074.65,955,96634.1485,222.7896,293.2116,516.0012,7037,103886,13967,,104,110,33812.163,59.99993,75.99814,30.70527,6.93209,64.37979,777.2028,17567,4628,64,466,17578.87297
