X,Y,NOMBRE,TIPO_AREA,SHAPE_Leng,SHAPE_Area,conb_Conurbacion,conb_Pob_Conurb_2002,conb_vehicle,conb_motor vehicle,conb_Non-motorized vehicle,conb_private transport,conb_public transport,conb_CO2(movil transport sources),conb_Green spaces,conb_Iliteracy,conb_Municipal spending(M$/hab),conb_Unemployment,conb_Crime reports,conb_Arrested person,conb_Companies,conb_Sales,conb_workers,conb_Income(workers),conb_Professional technicians,conb_University Professional,conb_Professionals,conb_Solid Waste,conb_Municipal spending for Power Consumption,conb_Municipal spending for Water Consumption,conb_Municipal Spending cleaning services garbage collection landfill,conb_Deaths,conb_Birthrate,conb_Year of scholarship,conb_Offence Against Property,conb_Offence Against the Person,conb_Burglary,conb_Robbery,conb_Injuries,conb_Indigenous,conb_Emergency attendence,conb_Respiratory Diseases,conb_Cardiovascular Diseases,conb_Hospitalizations,conb_Street length
-72.1161993801481,-38.6604718992708,San Patricio,Aldea,3996.74123,789303.70011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.8449503778519,-38.6034300398874,Cholchol,Pueblo,7316.65832,1753727.67030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-71.5791686915463,-38.4745736001228,Malalcahuello,Aldea,2697.29286,221369.60789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.6158146428757,-38.8684233290443,Quepe,Pueblo,10564.55906,1626889.48452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.2462565568556,-38.9883931975151,Los Laureles,Pueblo,5076.77904,731280.36354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.7814808653369,-38.4146991391384,Galvarino,Pueblo,5523.58431,1002168.79935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.756628540316,-38.7645686476529,Labranza,Aldea,5195.87426,1043378.89832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.6604880824622,-39.1549060605119,Quitratue,Aldea,5208.49760,683813.90477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.4119687699475,-38.7438628021245,Nehuentue,Aldea,2539.61202,389969.48712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.1547539295095,-38.9420122129204,Hortensias,Aldea,2218.48504,276540.11109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.4880988419528,-42.4722383354033,Achao,Pueblo,6878.49314,1587466.36413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.378320330337,-38.4226019732483,Perquenco,Pueblo,5812.75309,1378160.31562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
