X,Y,NOMBRE,TIPO_AREA,SHAPE_Leng,SHAPE_Area,datos_com_conb_Comuna,datos_com_conb_Pob_Comun_2002,datos_com_conb_Conurbacion,datos_com_conb_Pob_Conurb_2002,datos_com_conb_vehicle,datos_com_conb_motor vehicle,datos_com_conb_Non-motorized vehicle,datos_com_conb_private transport,datos_com_conb_public transport,datos_com_conb_CO2(movil transport sources),datos_com_conb_Green spaces,datos_com_conb_Iliteracy,datos_com_conb_Municipal spending(M$/hab),datos_com_conb_Unemployment,datos_com_conb_Crime reports,datos_com_conb_Arrested person,datos_com_conb_Companies,datos_com_conb_Sales,datos_com_conb_workers,datos_com_conb_Income(workers),datos_com_conb_Professional technicians,datos_com_conb_University Professional,datos_com_conb_Professionals,datos_com_conb_Solid Waste,datos_com_conb_Municipal spending for Power Consumption,datos_com_conb_Municipal spending for Water Consumption,"datos_com_conb_Municipal Spending cleaning services, garbage collection, landfill",datos_com_conb_Deaths,datos_com_conb_Birthrate,datos_com_conb_Year of scholarship,datos_com_conb_Offence Against Property,datos_com_conb_Offence Against the Person,datos_com_conb_Burglary,datos_com_conb_Robbery,datos_com_conb_Injuries,datos_com_conb_Indigenous,datos_com_conb_Emergency attendence,datos_com_conb_Respiratory Diseases,datos_com_conb_Cardiovascular Diseases,datos_com_conb_Hospitalizations,datos_com_conb_Street length
258021.877937611,6279393.46554316,San Antonio,Ciudad,31977.14425170000,12043384.72550000064,San Antonio,87205,Gran San Antonio,106255,7765,7203,562,5116,1298,32601.69,191851,1206.097473,62089.96,3846.473022,1692,798,5069,16555138.94,15604,1603763.9972,4874.7595,4220.722,9095.4815,32918,815069,63892,1357267,577,1307,266760.095,1095.9994164,596.0025725,850.9027875,142.1354295,353.4157035,1421.4415,17339,45046,2286,3573,247011.21674
287446.721000477,6353573.21728236,San Pedro,Pueblo,3470.56731826000,592937.87195900001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272476.079114394,6387147.11974177,Laguna de Zapallar,Pueblo,2828.63589177000,376342.10218799999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305491.458838009,6410033.50566102,Cabildo,Ciudad,7332.12224902000,1517413.05168000003,Cabildo,18916,Cabildo,11287,2249,2213,36,1896,142,,18916,472.7335392,8283.3164,248.84168244,205,54,1402,2569610.74,5045,350625.5576,618.5532,520.19,1138.7432,7002,170220,29844,225021,134,260,51387.2056,135.00008712,70.0005496,99.0555256,3.8456228,59.6270152,151.328,,,,,25885.99237
342109.011892112,6239003.24411283,San Francisco de Mostazal,Ciudad,11917.75865190000,2170238.15189999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346797.364951695,6232473.11065698,Codegua,Pueblo,13836.93451930000,3160246.29871999985,Codegua,10796,Codegua,5113,2989,2934,55,1566,1296,,,,9828.6784,258.1690664,256,51,487,1805162.43,3613,154854.6627,296.89,264.502,561.392,2596,77725,10406,35324,65,159,31032.88608,168.99993624,86.999566,115.2462204,7.6187372,74.2894352,186.7708,15738,6642,525,0,14807.53364
234358.007419049,6235784.56210917,La Vega de Pupuya,Pueblo,1693.52888781000,152561.46979400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280377.255779878,6206905.03968838,El Carmen,Aldea,1741.09795345000,204818.72590500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319208.57778708,6173791.86240374,El Trapiche,Aldea,2951.39742249000,379136.88634000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248470.235555039,6195150.03050597,Rinconada de Alcones,Aldea,2608.10007317000,156727.22164199999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325303.955155223,6198686.84808272,Esmeralda,Aldea,1267.31700106000,86713.08396710000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344702.567217927,6227693.64276585,La Compaia,Aldea,3183.67509737000,327503.55833099998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308466.774150853,6203656.35673076,Coltauco,Pueblo,7106.14131754000,877958.93472200003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310046.010040544,6204558.52871893,El Almendro Centro,Aldea,2737.24181000000,208548.10047700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209387.869068452,6128282.46960318,Iloca,Pueblo,11955.90575100000,1368373.73692000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180381.07044326,6039529.00180678,Chanco,Pueblo,4053.94346954000,708228.00046300003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245951.737512343,6079831.97976857,Pencahue,Pueblo,3333.99212482000,335185.63637700002,Pencahue,8315,Talca,210339,2656,2585,71,2351,56,,,,,,50,4,494,1691417.76,1205,107564.7171,,,,4275,107123,8516,113561,68,84,,,,,,,,,,,,5164.71563
294694.350177371,6093383.60071648,Curepto,Pueblo,7823.34820557000,855371.14106299996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202319.783479215,6072030.75036122,Santa Olga,Pueblo,5457.79218805000,804615.57000099996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
