X,Y,NOMBRE,TIPO_AREA,SHAPE_Leng,SHAPE_Area
247138.468771032,5981063.70390024,San Gregorio,Pueblo,3788.26720649000,521522.77312600001
224297.144837759,5903165.29627472,Pemuco,Pueblo,7144.65794550000,2108778.83874000004
145966.05482959,5934245.94295023,Punta de Parra,Pueblo,6429.03006610000,606292.41388899996
147802.959196525,5948138.21581317,Dichato,Pueblo,7630.54712090000,1059034.94021999999
205640.552991974,5928587.47251848,Bulnes,Ciudad,5648.84216601000,1749626.65421999991
220181.921670779,5941805.99910726,Chillan Viejo,Ciudad,14745.06316110000,4474306.61962000001
222683.924618439,5943994.83346788,Chillan,Ciudad,32925.26814750000,21701062.92749999836
146152.366681652,5941074.79061037,Tome,Ciudad,28211.64692040000,6901670.16401000042
207824.032263805,5762966.45490716,Victoria,Ciudad,19381.07762340000,6454703.89101999998
221487.754631009,5646236.51952937,Villarrica,Ciudad,12099.52085470000,4925456.44390000030
228499.610268086,5624428.25992517,Lican Ray,Pueblo,10602.93431500000,2802120.39468999999
142713.453554046,5782595.66354751,Puren,Ciudad,9083.36014390000,2548859.04332000017
203823.586186589,5781865.33112609,Ercilla,Pueblo,6072.51511969000,1340279.57606000011
198494.47482622,5793412.87415105,Collipulli,Ciudad,7652.75403174000,2456089.45367000019
199542.489298504,5717918.15431067,Pillanlelbun,Pueblo,6208.24660852000,1565850.61440000008
140274.922795718,5655116.88033324,Tolten,Pueblo,4971.58559867000,836704.87414099998
157791.212349863,5768504.28391408,Lumaco,Pueblo,4713.36152453000,812004.76336200000
162981.320179372,5789451.85633191,Los Sauces,Pueblo,8421.27027313000,1516023.58467000001
228848.353488247,5716291.20083376,San Patricio,Aldea,3996.74123136000,789303.70011400001
165152.3529924,5720213.80626267,Cholchol,Pueblo,7316.65831692000,1753727.67030000011
275005.604313492,5738376.03345881,Malalcahuello,Aldea,2697.29286050000,221369.60789300001
186276.569085102,5691607.76481882,Quepe,Pueblo,10564.55906150000,1626889.48451999994
218823.386912545,5679496.89374116,Los Laureles,Pueblo,5076.77904348000,731280.36353600002
169819.30067693,5741395.9755405,Galvarino,Pueblo,5523.58431060000,1002168.79934999999
173580.740591291,5702643.51019834,Labranza,Aldea,5195.87425900000,1043378.89832000004
183680.207860847,5659648.13030668,Quitratue,Aldea,5208.49759753000,683813.90477000002
116503.538649784,5702395.70748329,Nehuentue,Aldea,2539.61202327000,389969.48711900000
226572.202344827,5684924.34984787,Hortensias,Aldea,2218.48503992000,276540.11108900001
131033.514041137,5288021.2645726,Achao,Pueblo,6878.49314147000,1587466.36412999989
205063.436230789,5741887.54644954,Perquenco,Pueblo,5812.75309092000,1378160.31562000001
200737.327283788,5729317.89553949,Lautaro,Ciudad,13411.42660390000,6013521.06546999980
145736.063646456,5675806.04975256,Teodoro Schimidt,Pueblo,5457.08387133000,1335950.62905000011
138454.287432867,5664866.95405349,Gualpin,Pueblo,4056.49944902000,804017.09725100000
187470.69368857,5703022.03637997,Padre de Las Casas,Ciudad,18515.12883150000,6512048.70872000046
117987.308643503,5697682.85363375,Puerto Saavedra,Pueblo,6220.68403228000,1125748.20760999992
187649.374019758,5635914.11255574,Loncoche,Ciudad,16824.12913430000,5046415.59721999988
184862.206979186,5678236.85062931,Pitrufquen,Ciudad,17658.52389360000,4537432.93525999971
150417.300675997,5765098.94250117,Capitan Pastene,Pueblo,5299.67987642000,1079792.96513999999
244931.114865051,5647874.72485929,Pucon,Ciudad,23452.59360970000,5880999.13071999978
293123.35010815,5741324.81058024,Lonquimay,Pueblo,6790.16358828000,1319238.82412000000
219378.200311222,5714848.85588074,Vilcun,Pueblo,9403.78059787000,1476733.47946999990
238599.726936415,5714101.69130285,Cherquenco,Pueblo,6413.70067662000,1147472.82003000006
186811.038880896,5706734.20343277,Temuco,Ciudad,75222.95243380000,37131712.71000000089
173194.590212462,5456926.42652421,Puerto Octay,Pueblo,5976.79375411000,858899.69008700002
194261.602498914,5445855.5831086,Las Cascadas,Pueblo,5251.99086519000,954866.05289000005
126843.572966993,5407496.05979398,Los Muermos,Pueblo,6475.96094754000,1278420.15164000005
164478.853136909,5424632.24809973,Llanquihue,Ciudad,13598.42662500000,4113279.58172000013
108470.079178664,5269994.86387332,Chonchi,Pueblo,7421.02000419000,2000714.38871000009
124715.909930723,5215821.37835025,Quellon,Pueblo,10637.84360420000,2252900.57585000014
121181.9511329,5577198.74593314,Corral,Pueblo,6009.99456959000,326906.74660100002
108745.938619037,5367853.90127216,Carelmapu,Pueblo,5178.91452966000,578125.63728000002
156833.844274789,5704043.7047018,Nueva Imperial,Ciudad,14773.03528250000,3904419.57489999989
266317.884516406,5696105.73753513,Mellipeuco,Pueblo,5382.48552571000,1189164.86872999999
173699.350194711,5810167.25818569,Angol,Ciudad,21408.29495170000,6912992.76630999986
247981.174132638,5741430.01233577,Curacautin,Ciudad,12092.66242710000,3712002.31842999998
185842.492636555,5681812.24652346,Freire,Pueblo,11511.55296110000,2298426.96639999980
206199.507036234,5679366.98097398,Radal,Aldea,3257.24390336000,568289.83623400005
277264.129629647,5639819.86502293,Curarrehue,Pueblo,7017.76572783000,898285.87931500003
237541.57345966,5686419.70940203,Cunco,Ciudad,11147.24557860000,2020889.03215999994
138265.988870763,5706906.47575064,Carahue,Ciudad,10391.24623320000,2368622.41316000000
123945.377804424,5715161.50029714,Trovolhue,Pueblo,8437.85242357000,908077.87471300003
182236.134305623,5665164.33333615,Gorbea,Ciudad,16305.47907460000,4210816.67930999957
182737.53652518,5650506.55302649,Lastarria,Pueblo,6943.21305339000,965152.39237000002
214869.39839492,5677865.96984876,Choroico,Aldea,1460.25878505000,91487.30750040000
106274.251317164,5826098.28788114,Los Alamos,Ciudad,9229.65625255000,1946771.96078000008
110635.436360338,5827659.599464,Cerro Alto Tres Pinos,Ciudad,16272.59060350000,1998566.79799000011
149658.397458124,5900802.02174299,Hualqui,Ciudad,11086.05188130000,2488381.07047000015
170946.392197763,5867936.3891513,Laja,Ciudad,8838.84516840000,2113004.59080999997
115771.220701607,5843279.05895587,Curanilahue,Ciudad,16477.23223880000,4699848.51226000022
143808.846605161,5927388.32863283,Penco,Ciudad,22896.75958220000,6166576.69689999986
238480.142730225,5868699.82931453,Tucapel,Pueblo,6076.50684137000,1053308.76685000001
197360.316038775,5895866.66450758,Cabrero,Ciudad,10427.70639160000,3216231.64892000007
149733.976874611,5878455.18248437,Santa Juana,Ciudad,7493.79989267000,1855265.64526999998
183599.353270686,5943160.02571626,Nipas,Pueblo,5077.48978634000,635442.59752499999
223889.787297726,5951130.44673379,Villa Illinois,Pueblo,4801.15848014000,480874.35271299997
271737.705223779,5951420.89326028,San Fabian de Alico,Pueblo,3705.03323257000,643116.07880500006
241534.437551531,5934086.25985914,Pinto,Pueblo,5298.37258093000,1252001.98436999996
185652.226090715,5883102.9668675,Estacion Yumbel,Pueblo,4413.84176965000,642552.86241099995
183536.545234145,5888136.80185591,Yumbel,Ciudad,9824.40214815000,2237256.57253000000
236282.412748544,5848513.6345272,Quilleco,Pueblo,5136.29980374000,1099464.72567999992
236251.780036465,5856119.07116951,Villa Mercedes,Pueblo,2872.73806751000,505366.03296899999
181868.326816473,5979182.7189255,Quirihue,Ciudad,6854.26352269000,1430707.57648000005
212112.704705225,5955503.71111118,San Nicolas,Pueblo,4437.19402383000,902489.43176399998
233415.794379224,5826706.36703854,Santa Barbara,Ciudad,5842.56362569000,1073795.00845999992
262806.07203163,5865252.78481187,Antuco,Pueblo,4682.35461871000,740509.49771599995
