Comuna,Pob_Comun_2002,Conurbacion,Pob_Conurb_2002,vehicle,motor vehicle,Non-motorized vehicle,private transport,public transport,CO2(movil transport sources),Green spaces ,Iliteracy,Municipal spending(M$/hab),Unemployment,Crime reports,Arrested person,Companies,Sales,workers,Income(workers),Professional technicians,University Professional,Professionals,Solid Waste,Municipal spending for Power Consumption,Municipal spending for Water Consumption,"Municipal Spending cleaning services, garbage collection, landfill",Deaths,Birthrate,Year of scholarship,Offence Against Property,Offence Against the Person,Burglary,Robbery,Injuries,Indigenous,Emergency attendence,Respiratory Diseases,Cardiovascular Diseases,Hospitalizations,Street length
Pozo Almonte,10830,Pozo Almonte,6384,,,,,,,,104.04381,26742.519,236.099415,215,148,421,17955499.57,3036,764929.7574,288.078,371.469,659.547,9882,162290,82427,358011,40,220,28703.1822,125.9999022,88.998774,75.52842,3.554406,71.084871,1838.934,25176,6307,354,,17260.91846
Pucón,21107,Pucón,13750,2625,2588,37,2394,125,,135084.8,403.2534564,32766.5068,350.9798602,675,91,1505,3298107.55,5463,343841.0468,812.6195,1099.6747,1912.2942,10597,381070,38414,346147,97,334,63162.6975,513.9997747,160.9978639,270.1379395,20.7798415,121.0655306,2180.3531,,,,,49252.97571
Aisén,22353,Puerto Aisén,16936,2206,2206,,1830,268,,460471.8,615.3847959,19138.6386,459.242385,317,275,1347,6374851.08,7890,455392.6412,757.7667,1003.6497,1761.4164,11078,,,,,,78071.20545,139.99974489,176.9999952,53.0235513,3.7865982,160.0161858,1884.3579,39638,12243,472,557,51130.5468
Natales,19116,Puerto Natales,16978,,,,,,,43966.8,224.51742,18936.3096,253.7046846,250,122,1376,2498504.71,3817,188637.4755,464.5188,1018.8828,1483.4016,8466,228541,14086,303970,137,262,52350.31296,145.00002132,104.9984532,52.33005,3.8767248,97.87392,1938.3624,35514,8189,731,19972,46155.80728
Punta Arenas,119496,Punta Arenas,116005,28887,28333,554,24771,2374,33488.13,477984,555.8834424,64515.8904,2572.22429256,1825,928,7810,37377777.25,44471,3403258.4573,6882.9696,12248.34,19131.3096,50735,922833,26213,2130421,796,1732,520878.28416,1174.0004016,650.9903088,690.3403416,52.7933328,565.1802312,6918.8184,165333,58893,3169,,355917.69964
Purén,12868,Purén,7604,989,970,19,796,54,,24449.2,449.73454112,6437.8604,206.82787872,249,36,507,1131654.09,828,108814.4249,169.8576,396.3344,566.192,6331,134995,16261,123636,89,170,41651.1424,123.0000648,125.9983088,52.2029024,6.0235108,116.4528264,696.1588,17168,6332,252,380,25142.86285
Purranque,20705,Purranque,11618,1943,1896,47,1638,121,,,418.28241,10174.437,424.55664615,157,127,1065,3182217.12,17629,365104.5949,672.9125,629.432,1302.3445,3633,141218,14302,152559,168,288,69320.7541,79.99977195,76.997754,27.608047,4.92779,70.9912335,1544.593,30259,8752,640,852,36864.4691
Putaendo,14649,Putaendo,7214,1809,1786,23,1561,133,,21973.5,372.0377232,10720.1382,230.76393912,263,32,871,958404.2,1910,127284.278,459.9786,524.4342,984.4128,5664,145411,11393,50704,126,206,53584.5771,141.99993501,120.9992751,77.5942881,3.8321784,89.0878935,95.2185,,,,,13555.26696
Quellón,21823,Quellón,13656,1543,1527,16,1206,188,,17458.4,483.0826572,10296.0914,278.701533,254,258,1083,3719049.52,3883,274535.1657,453.9184,554.3042,1008.2226,12300,118362,57640,41000,92,407,74754.46827,145.00008651,108.9993381,68.4412926,10.8067496,87.3509221,3197.0695,35623,9623,281,1894,25262.52466
Quillón,15146,Quillón,7285,,,,,,,19689.8,524.99110638,10473.459,382.1275216,196,117,831,909995.86,1096,123905.2587,290.8032,318.066,608.8692,7252,210839,27585,377727,118,184,41307.23142,123.99984762,71.9995402,69.1626944,1.976553,69.1626944,148.4308,,,,,29840.76218
Quinta de Tilcoco,11380,Quinta de Tilcoco,5850,1642,1589,53,1202,150,,,,6295.416,268.80698,96,33,769,1353139.3,2114,128380.1498,282.224,220.772,502.996,2576,168138,13305,60350,69,141,38646.48,51.9999996,43.998494,25.262462,4.856984,36.921272,209.392,,,,,11380.38603
Quintero,21174,Quintero,18719,1843,1780,63,1409,265,,23291.4,316.92840894,15501.4854,560.71949274,706,183,1371,2757212.76,4291,392641.0763,1463.1234,1325.4924,2788.6158,8461,301777,49119,146903,153,388,59491.74084,548.99989548,157.0009752,385.3964436,24.6804144,117.7041486,298.5534,,,,,131510.36976
Quirihue,11429,Quirihue,7952,986,943,43,719,64,,4571.6,383.5069524,8928.3348,213.059418,130,110,453,999217.16,1720,152410.4223,316.5833,340.5842,657.1675,2429,69030,32899,113171,94,114,36279.76044,72.99988025,56.9998517,38.3945826,2.9521107,51.1939197,91.432,21108,6678,776,1573,23700.43793
Renaico,9128,Renaico,5355,853,794,59,660,33,,,287.627844,5059.6504,279.13597432,110,26,390,405775.52,739,74292.3799,138.7456,277.4912,416.2368,5551,82744,20299,97403,59,129,23885.694,68.00004008,41.9997536,25.7154016,0.9885624,39.5625776,188.0368,,,,,19399.78766
Rengo,50830,Rengo,30891,5534,5376,158,4457,524,,55913,1285.6304825,20326.917,1325.39225,920,240,2524,6487228.82,15405,868462.4198,2200.939,2007.785,4208.724,14754,483644,55172,472744,306,805,181089.4995,598.0002093,321.997884,287.885871,53.025856,244.329644,864.11,77949,12153,1497,274,111370.51308
Requínoa,22161,Requínoa,8240,2884,2674,210,2141,174,,,692.486928,10883.2671,346.243464,209,36,1179,6550245.45,9670,681162.4447,768.9867,627.1563,1396.143,6192,,,,124,355,80903.1627,122.00007237,86.9974377,74.948502,8.5386333,71.1545388,511.9191,23041,6442,520,,49369.60853
Rinconada,6692,Rinconada,5727,1197,1176,21,942,116,,4015.2,203.93890076,1677.6844,136.1273256,57,27,405,529869.04,2182,75232.1796,211.4672,262.3264,473.7936,2639,138308,45870,16558,40,156,16668.63436,45.0000194,11.9994252,19.9809736,,11.4178904,32.7908,,,,,19351.75294
Río Negro,14732,Río Negro,6583,1092,1051,41,870,62,,19151.6,408.098498,6944.6648,186.76507732,133,73,757,1687711.3,3106,239868.3131,343.2556,444.9064,788.162,7586,91429,16968,30188,101,168,43901.36,52.99999052,79.9991796,26.2126476,6.0489592,71.5813148,1370.076,23355,7285,394,518,18910.22902
Salamanca,24494,Salamanca,11615,2314,2253,61,1833,165,,36741,660.59509698,15641.8684,725.928678,226,110,1595,2124192.26,3232,169240.0285,702.9778,698.079,1401.0568,16343,227082,29640,,154,392,85810.07514,116.99999992,108.9983,62.3592746,5.8467178,97.437132,340.4666,16823,5191,380,687,36938.55225
