Conurbacion,Pob_Conurb_2002,vehicle,motor vehicle,Non-motorized vehicle,private transport,public transport,CO2(movil transport sources),Green spaces ,Iliteracy,Municipal spending(M$/hab),Unemployment,Crime reports,Arrested person,Companies,Sales,workers,Income(workers),Professional technicians,University Professional,Professionals,Solid Waste,Municipal spending for Power Consumption,Municipal spending for Water Consumption,Municipal Spending cleaning services garbage collection landfill,Deaths,Birthrate,Year of scholarship,Offence Against Property,Offence Against the Person,Burglary,Robbery,Injuries,Indigenous,Emergency attendence,Respiratory Diseases,Cardiovascular Diseases,Hospitalizations,Street length
Gran Quillota,128874,20212,19850,362,17022,1544,,324367,1608.533649,2488158.051,4307.977753,1197,938,10263,36559693.49,42785,3198237.043,8310.5474,9897.8268,18208.3742,58877,1027930,72416,1529319,1098,2500,521964.1197,1249.999254,663.9614091,680.5501716,54.7392187,456.7348719,31601.2596,11736,21039,1449,4868,347975.4843
Gran Rancagua,239290,42477,41486,991,36075,3443,81299.66,68983.8,2839.958139,118053.7802,7768.132903,5464,2401,12312,155885686.3,99783,9119381.324,17928.9539,19862.2139,37791.1678,89742,2212230,568162,4211466,1558,4705,947787.7354,3656.998737,1806.996691,2321.878631,562.4566285,1032.418376,4049.7208,255012,66400,7977,7148,700125.2169
Gran San Antonio,106255,24962,23720,1242,19765,2028,32601.69,198601,1467.011973,92996.5225,4463.180022,2284,1169,7074,31104544.25,19700,2119966.357,5676.322,4956.472,10632.794,43780,1293308,136034,1774514,747,1659,309271.595,1431.999398,689.002385,1126.7736,150.3839295,422.152641,1689.754,59432,57576,2831,3573,446404.9915
Gran Santiago,5638820,872750,859573,13177,772277,57439,4440873.19,14904377.4,50856.18421,4618840.295,171976.3309,125403,57735,340376,8911705578,3441686,612519593.8,401072.6699,669226.3051,1070298.975,2666458,45344859,7551086,91237732,33190,91669,22243213.49,74913.9607,51190.5779,49476.68822,20045.42571,22877.36272,185710.7431,5890406,1904475,131811,118297,13001502.91
Gran Temuco,268220,45208,44223,985,39011,2992,116157.38,512337.8,7013.404914,131716.2542,7181.948564,8680,1897,18537,69534855.75,98945,10193837.04,15564.6495,40409.9725,55974.622,152729,3196396,207360,2680126,2035,5560,1305565.234,6233.998132,2446.009368,4007.641758,363.7246061,1621.244654,34038.9694,208253,64873,2414,16521,832153.2929
Gran Valparaiso,814494,115215,113667,1548,101339,9224,577706.33,1380037.7,5203.962192,612970.4309,29407.63264,15773,9655,43915,579479038.9,259442,39735580.3,62293.7051,106775.8451,169069.5502,304574,6806849,746054,13794310,6263,12127,3151130.847,10712.99542,5059.954341,6891.916075,1135.323911,3311.039722,9203.3574,648338,159613,14150,31703,2158674.397
Graneros,21615,3075,2933,142,2331,328,,51922,442.6480305,13312.8008,520.3573514,460,179,1192,4764596.99,10387,486666.064,1165.6489,1061.8049,2227.4538,7454,,,,146,462,76192.9389,318.9999413,140.9993832,165.2054196,16.1399537,112.0346955,643.8328,47387,11580,1704,417,53648.91206
Hualañé,5198,2072,1960,112,1552,105,,15585.6,409.4872875,6077.4099,271.8995589,104,2,668,712336.88,1409,89795.9766,239.6286,267.8775,507.5061,4777,112110,20800,63976,72,77,23671.01964,43.99999959,59.9996895,24.4284798,1.9530705,55.6951416,111.0474,15075,3658,231,473,13219.048
Hualqui,13724,2411,2287,124,1870,173,3447.61,20644.8,606.4408123,10844.1504,702.2572704,367,77,600,965563.08,1058,117308.6179,585.5616,679.4016,1264.9632,6586,182546,17716,272761,120,363,62578.51776,224.9997926,142.0005648,168.564792,6.6663936,119.9969616,350.9616,8832,11711,354,,44016.78989
Huasco,6445,2978,2155,823,1173,120,,14301,138.904024,12344.941,323.164464,93,35,435,510299.97,2377,139795.752,296.3485,422.674,719.0225,2964,98439,35036,129114,59,163,27199.5486,60.0000044,33.000352,33.373767,1.9632095,30.42935,344.0185,,,,,32025.01474
