X,Y,NOMBRE,TIPO_AREA,SHAPE_Leng,SHAPE_Area,datos_com_conb_Comuna,datos_com_conb_Pob_Comun_2002,datos_com_conb_Conurbacion,datos_com_conb_Pob_Conurb_2002,datos_com_conb_vehicle,datos_com_conb_motor vehicle,datos_com_conb_Non-motorized vehicle,datos_com_conb_private transport,datos_com_conb_public transport,datos_com_conb_CO2(movil transport sources),datos_com_conb_Green spaces,datos_com_conb_Iliteracy,datos_com_conb_Municipal spending(M$/hab),datos_com_conb_Unemployment,datos_com_conb_Crime reports,datos_com_conb_Arrested person,datos_com_conb_Companies,datos_com_conb_Sales,datos_com_conb_workers,datos_com_conb_Income(workers),datos_com_conb_Professional technicians,datos_com_conb_University Professional,datos_com_conb_Professionals,datos_com_conb_Solid Waste,datos_com_conb_Municipal spending for Power Consumption,datos_com_conb_Municipal spending for Water Consumption,"datos_com_conb_Municipal Spending cleaning services, garbage collection, landfill",datos_com_conb_Deaths,datos_com_conb_Birthrate,datos_com_conb_Year of scholarship,datos_com_conb_Offence Against Property,datos_com_conb_Offence Against the Person,datos_com_conb_Burglary,datos_com_conb_Robbery,datos_com_conb_Injuries,datos_com_conb_Indigenous,datos_com_conb_Emergency attendence,datos_com_conb_Respiratory Diseases,datos_com_conb_Cardiovascular Diseases,datos_com_conb_Hospitalizations,datos_com_conb_Street length
-73.06077122,-36.63849356,Isla Quiriquina,Pueblo,4129.947627,286644.2723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.39003843,-37.66971044,Antiguala,Pueblo,10541.35343,1042970.933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-71.94655814,-37.24025869,Huepil,Ciudad,8352.781585,2675814.862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.43742327,-37.08641407,Monte Aguila,Pueblo,7520.830815,1747190.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-68.9232687,-22.45152051,Calama,Ciudad,31299.97527,17515368.09,Calama,138402,Calama,136600,33236,31931,1305,24627,4272,124119.07,152242.2,160.477119,64398.4506,4381.025349,3066,1187,6344,46853067.17,32200,4538646.592,11404.3248,10933.758,22338.0828,44341,1099776,206834,3206887,598,2893,499827.7508,1990.999963,1074.996014,1330.832111,146.2632336,832.349628,13148.19,100945,26479,3026,3979,392271.0745
-70.43170889,-23.09884896,Mejillones,Ciudad,17400.05844,7553971.824,Mejillones,8418,Mejillones,7825,1788,1732,56,1513,116,,14310.6,39.20818188,13216.26,237.2259744,198,71,395,1254288.91,1054,102201.6092,462.99,385.5444,848.5344,3619,160790,73416,424363,39,159,26028.456,120.0000211,78.0003462,83.7793032,5.5845012,62.3681202,192.7722,28285,7720,491,60,26758.43546
-70.39411675,-23.62085173,Antofagasta,Ciudad,57876.82436,35083002.36,Antofagasta,296905,Antofagasta,285255,42846,41381,1465,35200,3692,186838.65,,680.862546,155548.5295,5775.983932,5830,1850,15075,151080625.8,82360,13245820.99,20486.445,36073.9575,56560.4025,123137,2079290,1655983,6372096,1787,6128,1103889.821,3769.998742,2059.986271,2463.302023,497.375256,1250.890456,5106.766,314862,105722,3624,9706,704497.64
-70.48112328,-25.4059141,Taltal,Ciudad,7610.917978,2074162.798,Taltal,11100,Taltal,9564,959,921,38,774,107,,,161.618997,15140.4,294.570357,240,77,631,1185221.39,901,113779.2561,307.47,395.16,702.63,3679,293252,81648,242910,61,175,50119.83,135.999864,104.00034,68.11515,9.87123,88.84662,101.01,27518,6372,387,109,22007.09197
-70.33226445,-27.36511148,CopiapÃ_,Ciudad,45266.60741,16935952.97,CopiapÃ_,129091,CopiapÃ_,134561,18359,17896,463,14971,1937,65143.32,271091.1,1630.128875,56154.585,2928.461608,3929,947,6624,77797058.54,48928,5654593.333,6674.0047,12560.5543,19234.559,41588,1284884,416534,2894124,772,2871,503143.7907,2862.999562,1065.981842,1846.207846,259.3180008,668.4590162,3601.6389,131690,35064,3179,5938,358942.8321
-70.61599363,-26.34342022,Chaaral,Ciudad,8704.005877,2301685.535,ChaÃ±aral,13543,ChaÃ±aral,12086,3247,2890,357,1929,372,,2708.6,111.0902495,7826.4997,557.876799,223,80,778,3021557.89,3907,521397.6466,369.7239,591.8291,961.553,4716,110285,63772,107,80,249,50732.61972,139.9998145,82.9996298,91.0726121,6.9299531,70.2841071,207.2079,,,,,49882.72379
-70.81685418,-27.06853658,Caldera,Ciudad,12305.0045,2955959.288,Caldera,13734,Caldera,12776,3572,3466,106,2848,403,,75537,123.2873712,8686.755,199.197936,461,131,803,2474054.78,2889,270992.4348,546.6132,726.5286,1273.1418,8250,179211,72756,,68,284,46435.3407,336.9999478,124.0001658,217.1441538,9.606933,103.767237,373.5648,36319,9678,189,,66158.71639
-71.31170761,-29.9651693,Coquimbo,Ciudad,49899.27037,37315429.74,Coquimbo,163036,Gran La Serena,296253,14430,14249,181,11210,2195,62279.32,472804.4,1600.116822,129939.692,3905.470317,4347,908,7755,24340368.08,41602,3489266.441,9178.9268,12879.844,22058.7708,75463,2154076,324021,2571611,1068,3466,681816.552,3186.000601,1160.99566,2310.383156,258.7707392,726.080826,1679.2708,214135,52458,2419,11867,493142.566
-71.1969287,-30.59736218,Ovalle,Ciudad,16915.68205,7385884.25,Ovalle,98089,Ovalle,66405,11683,11544,139,9331,1354,26374.22,107897.9,1555.936763,46494.186,2385.769703,1397,364,5987,12318190.52,21982,1557003.82,3933.3689,4198.2092,8131.5781,23288,825184,154713,1505683,612,1713,417129.3578,908.0000641,488.9932828,559.1073,98.6088717,306.3515648,667.0052,131026,146,3601,3699,202096.7413
-71.00330596,-31.17929618,CombarbalÃ¡,Ciudad,6077.458954,1283014.965,CombarbalÃ¡,13483,CombarbalÃ¡,5494,1063,1049,14,862,85,,2696.6,349.5466402,11236.7322,83.6781946,112,15,552,529519.65,2024,96397.2559,246.7389,339.7716,586.5105,2586,192559,54989,,99,164,35936.50956,62.99985682,48.9999186,40.3290013,5.0412937,42.3447098,66.0667,3576,725,133,378,18299.61423
-71.16661979,-31.6300856,Illapel,Ciudad,8820.44127,2260305.076,Illapel,30355,Illapel,21826,3001,2877,124,2351,307,,69816.5,732.654351,15232.139,772.2312,501,166,1785,2913668.46,3471,380181.1034,1086.709,1059.3895,2146.0985,13855,327720,78909,221322,183,452,86630.1345,329.9998293,170.9988215,232.8440985,19.5637975,137.9422265,218.556,27809,2151,190,421,58467.7552
-71.50566856,-31.91250211,Los Vilos,Ciudad,8504.450734,2304555.162,Los Vilos,17453,Los Vilos,10966,2761,2688,73,2304,213,,27924.8,340.1345358,3277.6734,490.6755618,423,117,1037,1240203.75,1871,188819.116,635.2892,631.7986,1267.0878,3959,333586,23774,313552,114,300,57285.9819,296.9997954,126.0001882,197.5347993,6.7787452,111.3553759,181.5112,20555,6262,1027,399,55757.72642
-71.2466971,-29.91717237,La Serena,Ciudad,49691.97698,38650537.62,La Serena,160148,Gran La Serena,296253,27281,27123,158,24395,2462,84178.04,528488.4,1376.382377,115194.4564,5004.503288,4688,941,8923,41100482.57,43124,5036799.217,12411.47,18529.1236,30940.5936,61370,2701262,147911,2666151,993,3246,665895.384,3411.997981,1275.97919,2289.71603,397.7115432,649.560288,1713.5836,185479,63015,3421,5218,496726.1314
-71.83242158,-36.62771323,Coihueco,Ciudad,8404.35257,1673081.539,Coihueco,23583,Coihueco,7230,2241,2163,78,1885,77,,14149.8,1061.196796,10720.8318,520.4013444,183,52,1191,1607536.2,4056,232941.8493,398.5527,429.2106,827.7633,5304,184453,13897,205986,141,371,59833.60845,95.99978976,87.0000453,29.2523532,4.8746061,78.012564,282.996,,,,,18172.12086
-73.22713436,-38.01582558,Contulmo,Pueblo,9332.494178,903338.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.65329271,-37.611933,Lebu,Ciudad,12475.51456,2799199.314,Lebu,25035,Lebu,20838,1511,1506,5,1246,138,,25035,464.74974,17476.9335,805.566216,400,168,880,1761561.12,3248,595390.1924,498.1965,948.8265,1447.023,7744,283957,67840,158747,166,374,75606.95175,230.0000499,169.997664,109.4004465,8.7897885,153.3518925,2949.123,42889,11871,401,1565,51784.37019
-72.65685765,-37.51473862,El Sauzal,Pueblo,8982.030859,2775660.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.68053502,-37.50075572,Nacimiento,Ciudad,12623.19577,3522671.795,Nacimiento,25971,Los Angeles,138856,2397,2301,96,1936,171,,44150.7,883.0643837,19834.0527,922.8779267,260,152,1024,3662074.39,7545,526748.0207,646.6779,799.9068,1446.5847,5339,191909,7339,234328,171,372,72499.60476,115.9997312,143.9988066,79.6218918,10.8143244,128.7720093,322.0404,45237,14250,440,941,52909.85435
